# run,dgmsl(mm)
0,1179
1,223
2,788
4,1022
5,1022
6,1312
7,978
8,842
9,1317
10,179
11,495
12,1673
13,725
14,1137
15,-49
16,890
17,791
18,580
19,240
20,1064
21,206
22,269
23,1111
24,1749
25,775
26,1062
27,1462
28,308
29,457
31,1469
32,681
33,1193
34,648
35,864
36,566
37,888
38,1209
39,669
40,362
41,743
42,1823
43,450
44,1520
45,1464
46,1643
47,1549
48,1670
49,585
50,1026
51,1173
52,761
53,423
54,352
55,1042
56,529
57,250
58,1857
59,821
60,453
61,1388
62,978
63,629
64,1099
65,894
66,468
67,1827
68,949
69,1395
70,580
71,1819
72,1194
73,1059
74,715
75,1064
76,1568
77,664
78,337
80,810
81,584
82,1988
83,712
84,615
85,1574
86,641
87,1065
88,723
89,-17
90,856
91,1099
92,1588
93,813
94,1273
95,679
96,967
97,696
98,536
99,1920
100,1284
101,1426
102,1805
103,1262
104,1964
105,954
106,316
107,886
108,1114
109,1110
110,531
111,443
112,1084
113,849
115,614
116,620
117,890
118,474
119,589
120,1334
121,1569
122,625
123,741
124,701
125,748
126,1162
127,341
128,1259
129,766
130,809
131,283
132,317
133,533
134,832
135,290
136,523
137,1527
138,624
139,1267
140,996
141,720
142,1429
143,1186
144,1173
145,1444
146,722
147,725
148,951
149,1074
150,761
151,1646
152,405
153,434
154,965
156,1114
157,924
158,1787
159,1551
160,1025
161,1123
162,108
163,1404
164,1445
166,1078
167,1120
168,196
169,444
170,851
171,949
172,940
173,784
174,1036
175,853
176,921
177,1023
178,706
179,1162
180,1162
181,1537
182,1446
183,733
184,880
185,386
186,683
187,269
188,1725
189,1549
190,533
191,560
192,1409
193,681
194,1446
195,831
196,1882
197,571
198,819
199,845
200,1003
201,824
202,398
203,984
204,568
205,1310
206,888
207,494
208,1012
209,440
210,803
211,714
212,93
213,1806
214,1743
215,1737
216,2441
217,738
218,1259
219,433
220,838
221,731
222,1199
223,1698
224,1884
225,392
226,817
227,426
228,924
229,1173
231,1760
232,937
233,1434
234,829
235,725
236,555
237,221
238,828
239,1304
240,796
241,1142
242,924
243,111
244,1233
245,758
246,1226
247,312
248,1371
249,824
250,1567
251,799
252,652
253,1000
254,1075
255,159
256,2141
257,933
258,1051
259,1440
260,984
261,813
262,1582
263,658
264,1086
265,1451
266,1398
267,285
268,1193
269,1490
270,159
271,1406
272,1024
273,1128
274,707
275,1637
276,681
277,582
278,490
279,575
280,182
281,1116
282,555
283,1203
284,1081
285,349
286,696
287,1102
288,1110
289,606
290,287
291,1090
292,446
293,1513
294,284
295,835
296,1130
297,1618
298,997
299,1505
300,646
301,335
302,468
303,966
304,1019
305,813
306,474
307,834
308,900
309,917
310,1183
311,2174
312,884
313,1484
314,1558
315,331
316,1589
317,823
318,551
319,204
320,882
321,611
322,1148
323,1176
324,488
325,1714
326,1096
327,275
328,562
329,383
331,1356
332,1541
333,604
334,569
335,1069
336,1314
337,1650
339,486
340,320
341,839
342,1057
343,474
344,1439
345,1233
346,1831
347,560
348,974
349,477
350,1616
351,676
352,911
353,1544
354,1132
355,750
356,1159
358,1168
359,817
360,1526
361,1373
362,1595
363,1083
364,-17
365,650
366,1391
367,1693
368,1508
370,858
371,1372
372,1516
373,876
374,983
376,1531
377,642
378,326
379,837
380,743
381,1047
382,2298
383,485
384,636
385,628
386,1002
387,299
388,1459
389,1264
390,215
391,903
392,512
393,671
394,1529
395,498
396,1188
397,508
398,1456
399,1439
400,1105
401,520
402,1105
404,794
405,291
406,670
407,292
408,1877
409,1006
410,745
411,1130
412,2169
413,307
415,503
416,1548
417,1556
418,380
419,538
420,963
421,477
422,1197
423,2321
424,1041
425,260
426,1247
427,1303
428,661
429,663
430,844
431,611
432,604
433,996
434,1469
435,1198
436,882
437,228
438,798
439,504
440,666
441,1410
442,515
445,586
446,290
447,1076
448,438
449,634
450,941
451,1198
452,1761
453,1448
454,328
455,737
456,943
457,900
458,990
459,1159
460,613
461,159
462,1237
463,1272
464,536
465,1062
466,1230
467,1206
468,1495
469,275
470,669
471,1342
472,1145
473,1280
474,1045
475,1074
476,865
477,1217
478,1201
479,660
480,750
481,474
482,1458
483,758
484,982
485,1591
486,709
487,1052
488,1574
489,812
490,95
491,538
492,1200
493,615
494,420
495,1659
496,2021
497,1351
498,599
499,527
